BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.844836927	0	63.52_19.81	0.16		2016-06-28	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.3367320764614258	17	0.18938566116914063	17_SE633000-195000
0.5200448776	0	63.50_19.82	0.16		2016-07-18	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.4712271107273378	18	0.3076657551909709	18_SE633000-195000
0.4445505064	0	63.52_19.81	0.16		2016-08-16	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.5262253792764879	19	0.35991411031266346	19_SE633000-195000
0.5203072597	0	62.86_18.26	0.21		2013-06-03	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.5558168271590729	0	0.40360766851702645	0_SE625180-181655
0.475761729	0	62.86_18.26	0.21		2013-07-15	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.5918070672365013	1	0.4413974205983264	1_SE625180-181655
1.3533219612	0	62.86_18.26	0.21		2013-08-12	POOR	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.29396714715782746	2	0.15517371772626193	2_SE625180-181655
0.5217367288	0	62.86_18.26	0.21		2014-06-02	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.5547636693044716	3	0.4025018527696952	3_SE625180-181655
0.565412793	0	62.86_18.26	0.21		2014-06-30	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.525152439151529	4	0.37141006110910546	4_SE625180-181655
0.5335123879	0	62.86_18.26	0.21		2014-07-29	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.5463027159395091	5	0.39361785173648445	5_SE625180-181655
0.5313421522	0	62.86_18.26	0.21		2015-06-03	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.5478338672853152	6	0.395225560649581	6_SE625180-181655
0.2850953941	0	62.86_18.26	0.21		2015-08-03	HIGH	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8450562087306127	7	0.7365955548420415	7_SE625180-181655
0.832180825	0	62.86_18.26	0.21		2016-06-13	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.41176095351632264	8	0.2523490011921387	8_SE625180-181655
0.3918438733	0	62.86_18.26	0.21		2016-07-18	GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.6818359393316489	9	0.5359277362982314	9_SE625180-181655
0.459867545	0	62.86_18.26	0.21		2016-08-16	GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.6063364099454208	10	0.4566532304426919	10_SE625180-181655
0.334458192	0	65.81_22.37	0.16		2013-06-05	GOOD	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2013	0.6460815726309573	0	0.4783856512625052	0_SE654820-222660
2.059182029	0	65.81_22.38	0.16		2013-08-14	BAD	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2013	0.19425188952054517	1	0.07770075580821806	1_SE654820-222660
0.308599718266	0	65.81_22.38	0.16		2014-06-04	GOOD	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2014	0.6842580812606998	2	0.5184709853237348	2_SE654820-222660
0.5891731027	0	65.81_22.38	0.16		2014-07-30	MODERATE	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2014	0.43322847111220975	3	0.2715670475565992	3_SE654820-222660
0.1923831565	0	65.81_22.38	0.16		2015-06-02	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2015	0.9064853554370287	4	0.8316736397866514	4_SE654820-222660
0.09611507353	0	65.81_22.37	0.16		2015-08-05	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2015	1.0	5	1.0	5_SE654820-222660
0.56341269	0	65.81_22.38	0.16		2016-06-15	MODERATE	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2016	0.44629859359024154	6	0.28398366391072943	6_SE654820-222660
0.153832739	0	65.81_22.38	0.16		2016-08-17	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2016	1.0	7	1.0	7_SE654820-222660
0.3348458412	0	62.82_18.04	0.21		2015-07-10	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.7687183549398501	0	0.6271542726868427	0_SE625000-180075
0.4081726344	0	62.83_18.08	0.21		2015-07-10	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.6614173240895459	1	0.5144881902940233	1_SE625000-180075
0.2542603632	0	62.82_18.03	0.21		2015-07-29	HIGH	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8976029632104848	2	0.8259250374578242	2_SE625000-180075
