YEAR	local_EQR	PHOS	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
2013	3.6363636363636367	0.055	3.5	1	SE622860-173000	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.29	1.0	HIGH	(0, 'SE622860-173000')
2013	2.5	0.08	4.55	1	SE622000-172300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.375	1.0	HIGH	(0, 'SE622000-172300')
2013	0.76	0.22499999999999998	3.55	1	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	2.635	0.7466666666666666	GOOD	(0, 'SE614165-171500')
2014	0.8425531914893618	0.235	4.9	1	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	0.855	0.8425531914893618	HIGH	(1, 'SE614165-171500')
2015	0.521970705725699	0.3755	4.800000000000001	1	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	1.035	0.4780673387863801	MODERATE	(2, 'SE614165-171500')
2013	2.5130434782608693	0.07666666666666667	4.633333333333333	1	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	0.52	1.0	HIGH	(0, 'SE613760-171000')
2014	0.742857142857143	0.21	2.8000000000000003	1	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	0.69	0.7238095238095239	GOOD	(1, 'SE613760-171000')
2015	0.6896551724137931	0.26099999999999995	4.0	1	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	0.8133333333333334	0.6528735632183909	GOOD	(2, 'SE613760-171000')
2013	2.4242424242424243	0.0825	5.2	1	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	0.49	1.0	HIGH	(0, 'SE613500-172500')
2014	0.7254901960784313	0.255	4.25	1	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	0.7274999999999999	0.7006535947712418	GOOD	(1, 'SE613500-172500')
2015	0.5809731299927379	0.34425	5.05	1	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	0.78	0.5342601238026075	MODERATE	(2, 'SE613500-172500')
2013	2.0296296296296292	0.09000000000000001	4.133333333333333	1	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	0.4533333333333333	1.0	HIGH	(0, 'SE613591-171000')
2014	1.866666666666667	0.09	3.4	1	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	0.565	1.0	HIGH	(1, 'SE613591-171000')
2015	0.7853881278538815	0.21899999999999997	3.6	1	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	0.565	0.7805175038051753	GOOD	(2, 'SE613591-171000')
2013	1.92	0.1	4.6	1	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	0.42000000000000004	1.0	HIGH	(0, 'SE613500-171000')
2014	1.4615384615384615	0.13	4.5	1	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	0.645	1.0	HIGH	(1, 'SE613500-171000')
2015	0.5726744186046512	0.344	4.85	1	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	0.735	0.5263565891472869	MODERATE	(2, 'SE613500-171000')
2013	1.6695652173913043	0.115	4.6	1	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	0.485	1.0	HIGH	(0, 'SE613240-171000')
2014	1.1764705882352942	0.17	5.25	1	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	0.74	1.0	HIGH	(1, 'SE613240-171000')
2015	0.5813953488372093	0.344	5.0	1	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	0.825	0.5346622369878185	MODERATE	(2, 'SE613240-171000')
2013	1.4895104895104896	0.09533333333333334	2.0	1	SE645000-213500	22 - Norra Bottenviken. Inre kustvatten	0.6900000000000001	1.0	HIGH	(0, 'SE645000-213500')
2013	0.5070422535211269	0.355	2.0	1	SE637640-204160	20 - Norra Kvarkens inre kustvatten	0.705	0.44960195958358856	MODERATE	(0, 'SE637640-204160')
2013	1.4664371772805511	0.09683333333333333	2.0	1	SE644730-210650	22 - Norra Bottenviken. Inre kustvatten	0.39999999999999997	1.0	HIGH	(0, 'SE644730-210650')
2013	1.3750000000000002	0.124	2.95	1	SE634230-201605	20 - Norra Kvarkens inre kustvatten	0.22999999999999998	1.0	HIGH	(0, 'SE634230-201605')
