DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR
4	26.904999999999998	83.9	16.501625	4.875	2015-08-02	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.10351687472555048	(18, 'SE592040-184000')	0.19668206197854587
1	0.14	24.42	17.377406	4.218	2015-08-11	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.5378231702777156	(19, 'SE592040-184000')	0.7116054873054872
4	24.43	78.6	16.4683	4.9	2015-08-16	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.11027387170215618	(20, 'SE592040-184000')	0.2095203562340967
4	23.555	72.9	16.4683	4.9	2015-08-30	BAD	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.11889610858421773	(21, 'SE592040-184000')	0.2259026063100137
1	0.2	22.18	16.852204	4.612	2016-07-21	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.5816298057217805	(22, 'SE592040-184000')	0.7597927862939585
1	0.18	21.01	16.277681	5.043	2016-08-14	MODERATE	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.5952352126692917	(23, 'SE592040-184000')	0.7747587339362209
1	1.78	23.15	16.481630000000003	4.89	2013-07-09	MODERATE	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5381358727665424	(0, 'SE592245-184400')	0.7119494600431967
1	0.09	22.82	15.94843	5.29	2013-08-22	MODERATE	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.5262540833399729	(1, 'SE592245-184400')	0.6988794916739702
1	0.12	23.98	16.52162	4.86	2014-07-07	MODERATE	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.5172499810448099	(2, 'SE592245-184400')	0.688974979149291
1	1.4	43.1	15.5352	5.6	2014-07-28	BAD	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.18970814507265843	(3, 'SE592245-184400')	0.360445475638051
1	0.77	26.42	16.30834	5.02	2014-08-15	MODERATE	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014	0.45206592801596585	(4, 'SE592245-184400')	0.6172725208175625
1	0.22	31.7	16.126	4.91	2014-07-12	POOR	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2014	0.33965485247726857	(0, 'SE600740-183460')	0.5087066246056783
1	0.32	30.9	16.07	4.95	2014-08-11	POOR	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2014	0.353017323434228	(1, 'SE600740-183460')	0.5200647249190938
1	0.19	27.92	16.1246	4.911	2015-07-12	MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2015	0.4175286532951289	(2, 'SE600740-183460')	0.5775286532951289
1	0.32	29.3	16.2772	4.802	2015-08-10	POOR	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2015	0.3947480425617345	(3, 'SE600740-183460')	0.5555358361774744
1	0.17	26.65	16.161	4.885	2016-07-16	MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2016	0.44641651031894936	(4, 'SE600740-183460')	0.6064165103189494
1	1.55	21.27	16.0	5.062	2016-08-13	MODERATE	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	2016	0.5922331922896098	(5, 'SE600740-183460')	0.7522331922896098
1	0.19	37.7	16.0	5.04	2014-07-12	POOR	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2014	0.2404743329692619	(0, 'SE601070-182870')	0.42440318302387264
1	0.2	32.7	16.0	5.04	2014-08-11	POOR	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2014	0.3168195718654433	(1, 'SE601070-182870')	0.48929663608562685
1	0.31	29.3	16.0546	4.961	2015-07-12	POOR	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2015	0.38581007829753067	(2, 'SE601070-182870')	0.5479385665529011
1	0.18	28.59	16.1064	4.924	2015-08-10	MODERATE	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2015	0.4033578174186778	(3, 'SE601070-182870')	0.5633578174186779
1	0.14	25.08	16.0994	4.929	2016-07-16	MODERATE	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2016	0.48192185007974475	(4, 'SE601070-182870')	0.6419218500797448
1	0.13	22.44	16.0	5.049	2016-08-13	MODERATE	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	2016	0.55301247771836	(5, 'SE601070-182870')	0.7130124777183601
11		24.98818181818182	18.036363636363635	2.4545454545454546	2013-08-29	MODERATE	SE625500-175153	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.5717957579946884	(0, 'SE625500-175153')	0.7217957579946883
3		14.99	18.4	2.0	2015-08-26	HIGH	SE625500-175153	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	1.0	(1, 'SE625500-175153')	1.2274849899933287
