VISS_EU_CD	local_EQR	PHOS	SALT	YEAR_count	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
SE592400-180800	0.28603685458857875	0.8016666666666667	2.4	3	['24 - Stockholms inre skärgård och Hallsfjärden']	1.304	0.19726679626798538	BAD	(0, 'SE592400-180800')
SE593750-183962	0.30405236720605244	1.4016666666666666	3.716666666666667	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.961666666666667	0.21873648960806996	POOR	(0, 'SE593750-183962')
SE643700-211940	0.7473684210526317	0.19	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.8	0.7190283400809717	GOOD	(0, 'SE643700-211940')
SE623890-178030	2.2222222222222223	0.09	5.0	1	['19 - Norra Bottenhavet. Höga kusten. Yttre kustvatten']	0.405	1.0	HIGH	(0, 'SE623890-178030')
SE622500-172430	3.6363636363636367	0.055	3.5	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.2825	1.0	HIGH	(0, 'SE622500-172430')
SE622860-173000	3.6363636363636367	0.055	3.5	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.29	1.0	HIGH	(0, 'SE622860-173000')
SE622000-172300	2.5	0.08	4.55	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.375	1.0	HIGH	(0, 'SE622000-172300')
SE614165-171500	0.7081746324050203	0.27849999999999997	4.416666666666667	3	['16 - Södra Bottenhavet. Inre kustvatten']	1.508333333333333	0.677566176540027	GOOD	(0, 'SE614165-171500')
SE613760-171000	1.3151852645106017	0.18255555555555555	3.8111111111111113	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.6744444444444445	1.0	HIGH	(0, 'SE613760-171000')
SE613500-172500	1.2435685834378647	0.22725000000000004	4.833333333333333	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.6658333333333333	1.0	HIGH	(0, 'SE613500-172500')
SE613591-171000	1.560561474716726	0.13299999999999998	3.711111111111111	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.5277777777777778	1.0	HIGH	(0, 'SE613591-171000')
SE613500-171000	1.3180709600477043	0.19133333333333333	4.6499999999999995	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.6	1.0	HIGH	(0, 'SE613500-171000')
SE613240-171000	1.1424770514879359	0.20966666666666667	4.95	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.6833333333333332	1.0	HIGH	(0, 'SE613240-171000')
SE645000-213500	1.4895104895104896	0.09533333333333334	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.6900000000000001	1.0	HIGH	(0, 'SE645000-213500')
SE637640-204160	0.5070422535211269	0.355	2.0	1	['20 - Norra Kvarkens inre kustvatten']	0.705	0.44960195958358856	MODERATE	(0, 'SE637640-204160')
SE644730-210650	1.4664371772805511	0.09683333333333333	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.39999999999999997	1.0	HIGH	(0, 'SE644730-210650')
SE634230-201605	1.3750000000000002	0.124	2.95	1	['20 - Norra Kvarkens inre kustvatten']	0.22999999999999998	1.0	HIGH	(0, 'SE634230-201605')
